PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES
1,,,2596,Adeel Ahmed,363,67,792,30.50847458,,0,792,96,82,278,267
2,,,1570,Adeel Ahmed,207,39,586,37.32484076,,0,586,Missing,Missing,Missing,-65
3,,,2196,Adeel Ahmed,346,77,934,42.53187614,,0,934,Missing,Missing,Missing,#VALUE!
4,,,1966,Adeel Ahmed,300,37,630,32.04476094,,0,630,Missing,Missing,Missing,#VALUE!
5,,,1702,Adeel Ahmed,242,61,663,38.95417156,,0,663,Missing,Missing,Missing,#VALUE!
6,,,1464,Adeel Ahmed,312,56,626,42.75956284,,0,626,Missing,Missing,Missing,#VALUE!
7,,,2956,Adeel Ahmed,408,97,1114,37.68606225,,0,1114,Missing,Missing,Missing,#VALUE!
8,,,2457,Adeel Ahmed,284,35,624,25.3968254,,0,624,Missing,Missing,Missing,#VALUE!
9,,,2047,Aasia Ishaque Siddiqui,0,2047,2047,100,,0,2047,Missing,Missing,Missing,#VALUE!
10,,,2228,Aasia Ishaque Siddiqui,0,2228,2228,100,,0,2228,272,40,480,#REF!
11,,,3125,Adeel Ahmed,313,202,1087,34.784,,0,1087,313,202,846,0
12,,,1297,Adeel Ahmed,109,101,468,36.08326908,,0,468,Missing,Missing,Missing,#VALUE!
13,,,1683,Aasia Ishaque Siddiqui,125,157,608,36.12596554,,0,608,125,157,608,0
14,,,2224,Adeel Ahmed,256,23,649,29.18165468,,0,649,256,23,464,0
15,,,1842,Adeel Ahmed,412,10,756,41.04234528,,0,756,Missing,Missing,Missing,#VALUE!
16,,,3105,Adeel Ahmed,324,14,1169,37.6489533,,0,1169,Missing,Missing,Missing,#VALUE!
17,,,2237,Adeel Ahmed,405,51,963,43.04872597,,0,963,Missing,Missing,Missing,#VALUE!
18,,,1955,Adeel Ahmed,303,7,780,39.89769821,,0,780,Missing,Missing,Missing,#VALUE!
19,,,2622,Adeel Ahmed,444,18,868,33.10450038,,0,868,Missing,Missing,Missing,#VALUE!
20,,,1872,Adeel Ahmed,369,5,767,40.97222222,,0,767,Missing,Missing,Missing,#VALUE!
21,,,2280,Adeel Ahmed,106,81,720,31.57894737,,0,720,Missing,Missing,Missing,#VALUE!
22,,,2283,Adeel Ahmed,453,10,899,39.37801139,,0,899,Missing,Missing,Missing,#VALUE!
23,,,1777,Adeel Ahmed,328,6,782,44.00675295,,0,782,Missing,Missing,Missing,#VALUE!
24,,,1762,Adeel Ahmed,278,6,793,45.00567537,,0,793,Missing,Missing,Missing,#VALUE!
25,,,2383,Adeel Ahmed,214,77,873,36.63449433,,0,873,Missing,Missing,Missing,#VALUE!
26,,,2014,Aasia Ishaque Siddiqui,0,2000,2014,100,,0,2014,Missing,Missing,Missing,#VALUE!
27,,,1588,Aasia Ishaque Siddiqui,205,312,845,53.2115869,,0,845,Missing,Missing,Missing,#VALUE!
