PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,Comments
1,9,99,1716,Hassan Nasir (MQM),154,0,515,0.30011655,544,0.31701632,29,,,,,
2,10,99,1622,Hassan Nasir (MQM),122,0,406,0.25030826,436,0.26880395,30,,,,,
3,11,99,1209,Hassan Nasir (MQM),91,0,303,0.25062035,328,0.27129859,25,,,,,
4,12,99,1029,Hassan Nasir (MQM),77,0,257,0.24975705,449,0.43634597,192,,,,,
5,13,99,1178,Hassan Nasir (MQM),88,0,294,0.24957555,244,0.20713073,50,,,,,
6,14,99,1554,Hassan Nasir (MQM),117,0,389,0.25032175,564,0.36293436,175,,,,,
7,15,99,1709,Hassan Nasir (MQM),128,0,427,0.24985372,549,0.32124049,122,,,,,
8,16,99,2068,Hassan Nasir (MQM),155,72,517,0.25000000,634,0.30657640,117,,,,,
9,17,99,1306,Hassan Nasir (MQM),98,74,327,0.25038285,429,0.32848392,102,,,,,
10,18,99,1731,Hassan Nasir (MQM),130,0,433,0.25014443,412,0.23801271,21,,,,,
11,19,99,1301,Hassan Nasir (MQM),98,0,325,0.24980784,566,0.43504996,241,,,,,
12,20,99,1607,Hassan Nasir (MQM),121,0,402,0.25015557,579,0.36029869,177,,,,,
13,21,99,2333,Hassan Nasir (MQM),175,0,583,0.24989284,1212,0.51950279,629,,,,,
14,22,99,2050,Hassan Nasir (MQM),154,0,513,0.25024390,1015,0.49512195,502,,,,,
15,23,99,998,Hassan Nasir (MQM),75,35,250,0.25050100,200,0.20040080,50,,,,,
16,24,99,1245,Hassan Nasir (MQM),93,0,312,0.25060241,304,0.24417671,8,,,,,
17,25,99,2813,Hassan Nasir (MQM),211,0,703,0.24991113,1407,0.50017775,704,,,,,
18,26,99,1654,Hassan Nasir (MQM),124,69,413,0.24969770,679,0.41051995,266,,,,,
19,27,99,2069,Hassan Nasir (MQM),155,0,517,0.24987917,523,0.25277912,6,,,,,
20,28,99,1071,Hassan Nasir (MQM),80,0,268,0.25023343,281,0.26237162,13,,,,,
21,29,99,1266,Hassan Nasir (MQM),95,0,317,0.25039494,362,0.28593997,45,,,,,
22,1,101,2704,Hassan Nasir (MQM),203,0,676,0.25000000,1613,0.59652367,937,,,,,
23,2,101,1614,Hassan Nasir (MQM),121,0,403,0.24969021,941,0.58302354,538,,,,,
24,3,101,2745,Hassan Nasir (MQM),206,0,687,0.25027322,1060,0.38615665,373,,,,,
25,4,101,1534,Hassan Nasir (MQM),115,0,383,0.24967405,202,0.13168188,181,,,,,
26,5,101,1460,Hassan Nasir (MQM),110,0,365,0.25000000,1377,0.94315068,1012,,,,,
27,6,101,1823,Hassan Nasir (MQM),137,87,455,0.24958859,1085,0.59517279,630,,,,,
28,7,101,1388,Hassan Nasir (MQM),104,0,347,0.25000000,448,0.32276657,101,,,,,
29,8,101,2022,Hassan Nasir (MQM),152,0,505,0.24975272,537,0.26557864,32,,,,,
30,9,101,1782,Hassan Nasir (MQM),134,0,445,0.24971942,475,0.26655443,30,,,,,
31,10,101,1117,Hassan Nasir (MQM),84,0,280,0.25067144,857,0.76723366,577,,,,,
32,11,101,2016,Hassan Nasir (MQM),151,0,504,0.25000000,1606,0.79662698,1102,,,,,
33,12,101,1593,Hassan Nasir (MQM),119,0,398,0.24984306,996,0.62523540,598,,,,,
34,13,101,1781,Hassan Nasir (MQM),134,0,445,0.24985963,529,0.29702414,84,,,,,
35,14,101,1514,Hassan Nasir (MQM),114,0,378,0.24966975,510,0.33685601,132,,,,,
36,15,101,2567,Hassan Nasir (MQM),193,0,642,0.25009739,1292,0.50331126,650,,,,,
37,16,101,3868,Hassan Nasir (MQM),290,0,967,0.25000000,1453,0.37564633,486,,,,,
38,17,101,2676,Hassan Nasir (MQM),201,0,669,0.25000000,810,0.30269058,141,,,,,
39,18,101,2160,Hassan Nasir (MQM),162,0,540,0.25000000,729,0.33750000,189,,,,,
40,19,101,1393,Hassan Nasir (MQM),104,0,348,0.24982053,Missing Page,#VALUE!,#VALUE!,,,,,
41,20,101,1379,Hassan Nasir (MQM),103,0,345,0.25018129,457,0.33139956,112,,,,,
42,21,101,1854,Hassan Nasir (MQM),139,0,463,0.24973031,1739,0.93797195,1276,,,,,
43,22,101,2376,Hassan Nasir (MQM),178,0,594,0.25000000,1706,0.71801347,1112,,,,,
44,23,101,2053,Hassan Nasir (MQM),154,0,514,0.25036532,651,0.31709693,137,,,,,
45,24,101,1606,Hassan Nasir (MQM),120,0,402,0.25031133,596,0.37110834,194,,,,,
46,25,101,1870,Hassan Nasir (MQM),140,0,468,0.25026738,576,0.30802139,108,,,,,
47,26,101,1832,Equal Votes,0,0,458,0.25000000,1093,0.59661572,635,,,,,
48,27,101,2029,Hassan Nasir (MQM),152,0,508,0.25036964,1188,0.58551010,680,,,,,
49,28,101,2238,Hassan Nasir (MQM),168,0,560,0.25022341,1139,0.50893655,579,,,,,
