PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES
1,34,109,1783,Missing,Missing,Missing,136,7.627593943,668,37.46494672,532,82,387,601,#VALUE!
2,35,109,2074,Khurram Sher Zaman,0,20,134,6.460945034,721,34.76374156,587,105,410,714,-105
3,36,109,2402,Khurram Sher Zaman,0,91,363,15.11240633,906,37.71856786,543,148,463,893,-148
4,37,109,664,Khurram Sher Zaman,0,100,222,33.43373494,673,101.3554217,451,101,442,720,-101
5,38,109,2410,Mirza Ikhtiar Baig,98,35,135,5.601659751,926,38.42323651,791,68,653,,-33
6,39,109,2544,Mirza Ikhtiar Baig,71,25,96,3.773584906,948,37.26415094,852,25,600,945,0
7,40,109,2976,Khurram Sher Zaman,21,49,70,2.352150538,882,29.63709677,812,49,475,465,-28
8,41,109,2199,Equal votes,33,33,135,6.139154161,777,35.33424284,642,Missing,Missing,Missing,12
9,42,109,2565,Mirza Ikhtiar Baig,56,21,77,3.001949318,737,28.73294347,660,21,375,739,-49
10,43,109,1944,Mirza Ikhtiar Baig,78,35,113,5.812757202,580,29.83539095,467,Missing,Missing,Missing,#REF!
11,44,109,2334,Khurram Sher Zaman,59,70,137,5.8697515,762,32.64781491,625,70,469,818,#REF!
12,45,109,1814,Mirza Ikhtiar Baig,106,45,178,9.812568908,626,34.50937155,448,45,361,1240,0
13,46,109,1709,Mirza Ikhtiar Baig,150,24,174,10.18139263,476,27.85254535,302,24,246,476,0
14,47,109,1556,Mirza Ikhtiar Baig,137,14,157,10.08997429,492,31.61953728,335,14,237,487,0
15,48,109,1318,Mirza Ikhtiar Baig,195,16,211,16.0091047,520,39.45371775,309,16,263,512,0
16,49,109,1844,Mirza Ikhtiar Baig,41,16,57,3.091106291,682,36.98481562,625,16,317,638,0
17,50,109,1867,Mirza Ikhtiar Baig,120,18,144,7.712908409,641,34.33315479,497,118,,639,-100
18,51,109,2889,Khurram Sher Zaman,73,88,161,5.572862582,776,26.86050537,615,88,280,758,-15
19,52,109,2487,Mirza Ikhtiar Baig,88,82,195,7.840772014,2487,100,2292,82,247,728,0
20,53,109,2396,Mirza Ikhtiar Baig,67,55,122,5.091819699,539,22.49582638,417,55,243,536,0
21,54,109,1870,Mirza Ikhtiar Baig,61,28,92,4.919786096,660,35.29411765,568,28,261,653,0
22,55,109,2023,Khurram Sher Zaman,41,33,79,3.905091448,861,42.56055363,782,33,403,845,8
23,56,109,1854,Mirza Ikhtiar Baig,152,53,205,11.05717368,653,35.22114347,448,53,291,643,0
24,57,109,1853,Mirza Ikhtiar Baig,104,59,173,9.336211549,691,37.29087965,518,59,313,684,25
25,58,109,567,Mirza Ikhtiar Baig,384,34,557,98.23633157,571,100.7054674,14,34,311,567,#REF!
26,59,109,1492,Mirza Ikhtiar Baig,410,8,418,28.01608579,363,24.32975871,55,8,184,362,0
27,60,109,2548,Mirza Ikhtiar Baig,463,39,503,19.74097331,898,35.2433281,395,39,478,891,0
28,61,109,1925,Mirza Ikhtiar Baig,442,11,453,23.53246753,529,27.48051948,76,11,258,519,0
29,62,109,1883,Mirza Ikhtiar Baig,653,7,660,35.05045141,534,28.35900159,126,7,243,529,0
30,63,109,2021,Mirza Ikhtiar Baig,600,15,660,32.65710045,628,31.07372588,32,15,335,629,0
31,64,109,588,Mirza Ikhtiar Baig,445,50,495,84.18367347,587,99.82993197,92,50,306,588,0
32,65,109,1624,Mirza Ikhtiar Baig,460,16,476,29.31034483,389,23.95320197,87,16,281,388,0
33,66,109,1555,Mirza Ikhtiar Baig,375,15,390,25.08038585,507,32.60450161,117,15,348,504,0
34,67,109,2376,Mirza Ikhtiar Baig,279,56,335,14.0993266,608,25.58922559,273,56,427,600,0
