psnum_na,psnum_ps,turnout_percentage_ps,total_votes,psnum,pti_acc_ecp,est_acc_ecp,total_votes_acc_ecp,pti_acc_pti,est_acc_pti,total_votes_acc_pti,pti_acc_pti_fixed,est_acc_pti_fixed,total_votes_acc_pti_fixed,est_diff,pti_diff,total_votes_diff,ecp_pti_discrepency,pti_won_acc_ecp,ecp_winner,pti_winner,name,registered_voters,turnout_acc_ecp,turnout_acc_pti
1.0,1.0,0.2971813725490196,485.0,1,192,24,487.0,187.0,24.0,487.0,187.0,24.0,487.0,0.0,5.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,2,1632,0.29840686274509803,0.29840686274509803
2.0,2.0,0.40247495580436066,683.0,2,275,27,683.0,275.0,27.0,683.0,275.0,27.0,683.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,2,1697,0.40247495580436066,0.40247495580436066
3.0,3.0,1.0,2189.0,3,120,11,394.0,120.0,11.0,394.0,120.0,11.0,394.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,3,2189,0.17999086340794884,0.17999086340794884
4.0,4.0,0.38235294117647056,871.0,4,324,10,871.0,324.0,10.0,871.0,324.0,10.0,871.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,3,2278,0.38235294117647056,0.38235294117647056
5.0,5.0,0.21945701357466063,194.0,5,80,685,874.0,80.0,5.0,194.0,80.0,5.0,194.0,680.0,0.0,680.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,3,884,0.9886877828054299,0.21945701357466063
6.0,6.0,0.34779240898528274,449.0,6,163,828,1249.0,163.0,28.0,449.0,163.0,28.0,449.0,800.0,0.0,800.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,3,1291,0.9674670797831139,0.34779240898528274
7.0,7.0,0.4322498944702406,1024.0,7,393,20,1024.0,393.0,20.0,1024.0,393.0,20.0,1024.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,4,2369,0.4322498944702406,0.4322498944702406
8.0,8.0,0.27208706786171577,425.0,8,157,5,425.0,157.0,5.0,425.0,157.0,5.0,425.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,4,1562,0.27208706786171577,0.27208706786171577
9.0,9.0,0.735838779956427,1351.0,9,243,1012,1605.0,243.0,12.0,,243.0,12.0,1605.0,1000.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,5,1836,0.8741830065359477,0.8741830065359477
10.0,10.0,0.41778405081157377,592.0,10,191,13,592.0,191.0,13.0,592.0,191.0,13.0,592.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,5,1417,0.41778405081157377,0.41778405081157377
11.0,11.0,0.23010752688172043,214.0,11,63,4,214.0,63.0,4.0,214.0,63.0,4.0,214.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,5,930,0.23010752688172043,0.23010752688172043
12.0,12.0,0.3605128205128205,703.0,12,272,45,703.0,272.0,45.0,703.0,272.0,45.0,703.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,6,1950,0.3605128205128205,0.3605128205128205
13.0,13.0,1.0,1174.0,13,98,12,251.0,98.0,12.0,251.0,98.0,12.0,251.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,6,1174,0.21379897785349233,0.21379897785349233
14.0,1.0,0.2632831086439334,332.0,14,157,27,330.0,157.0,27.0,331.0,157.0,27.0,331.0,0.0,0.0,1.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,6,1261,0.2616970658207772,0.2624900872323553
15.0,2.0,0.3700787401574803,517.0,15,164,886,1317.0,164.0,86.0,517.0,164.0,86.0,517.0,800.0,0.0,800.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,6,1397,0.9427344309234073,0.3700787401574803
16.0,3.0,0.30700179533213645,684.0,16,246,36,681.0,246.0,36.0,681.0,246.0,36.0,681.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,6,2228,0.30565529622980253,0.30565529622980253
,,0.1995263469508585,,17,95,27,337.0,95.0,27.0,337.0,95.0,27.0,337.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,7,1689,0.1995263469508585,0.1995263469508585
18.0,14.0,1.0,739.0,18,103,516,739.0,103.0,16.0,184.0,103.0,16.0,184.0,500.0,0.0,555.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,7,739,1.0,0.2489851150202977
19.0,15.0,0.39504563233376794,606.0,19,269,967,1506.0,269.0,67.0,606.0,269.0,67.0,606.0,900.0,0.0,900.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,7,1534,0.9817470664928292,0.39504563233376794
